# total_molecules: 123007215
bit_i,bit_j,count,fraction,expected_fraction,pmi
194,1253,160257,0.00130283,0.00006915,4.235681
729,775,477746,0.00388389,0.00020622,4.235252
1475,1607,1064312,0.00865244,0.00045943,4.235201
518,1682,135177,0.00109894,0.00005840,4.234092
1253,1572,93562,0.00076062,0.00004043,4.233553
1601,1757,167578,0.00136234,0.00007246,4.232793
1323,1764,514964,0.00418645,0.00022275,4.232236
7,1720,81380,0.00066159,0.00003520,4.232213
1338,1806,90876,0.00073879,0.00003933,4.231284
506,1329,73596,0.00059831,0.00003186,4.231061
1304,1948,250352,0.00203526,0.00010844,4.230223
219,396,127887,0.00103967,0.00005540,4.230103
903,1265,245064,0.00199227,0.00010619,4.229690
3,600,176536,0.00143517,0.00007650,4.229644
1284,1927,71400,0.00058045,0.00003094,4.229465
538,1931,67136,0.00054579,0.00002910,4.229069
700,1119,116049,0.00094343,0.00005032,4.228576
25,2033,2160565,0.01756454,0.00093694,4.228563
403,1723,564668,0.00459053,0.00024496,4.228043
329,491,499484,0.00406061,0.00021712,4.225113
97,215,181667,0.00147688,0.00007901,4.224440
733,1456,286718,0.00233090,0.00012473,4.223982
148,1638,316528,0.00257325,0.00013770,4.223964
688,1305,82848,0.00067352,0.00003606,4.223188
819,1969,433009,0.00352019,0.00018849,4.223070
573,1664,359643,0.00292376,0.00015664,4.222281
220,1817,219845,0.00178725,0.00009592,4.219797
491,1524,652271,0.00530271,0.00028476,4.218919
374,757,371679,0.00302160,0.00016255,4.216379
81,1684,255509,0.00207719,0.00011177,4.216028
748,1548,64874,0.00052740,0.00002839,4.215402
686,763,104268,0.00084766,0.00004564,4.215075
291,1465,165375,0.00134443,0.00007240,4.214935
42,1817,351311,0.00285602,0.00015380,4.214842
738,1035,1009899,0.00821008,0.00044317,4.211459
719,1341,110886,0.00090146,0.00004868,4.211001
775,1134,436469,0.00354832,0.00019164,4.210635
239,1993,1004524,0.00816638,0.00044116,4.210330
568,579,72354,0.00058821,0.00003179,4.209638
556,772,752686,0.00611904,0.00033084,4.209080
364,476,174946,0.00142224,0.00007693,4.208545
1037,1921,534417,0.00434460,0.00023510,4.207897
273,1904,181536,0.00147582,0.00007993,4.206589
323,471,847275,0.00688801,0.00037312,4.206379
189,430,298926,0.00243015,0.00013165,4.206303
1861,1938,290166,0.00235893,0.00012784,4.205736
529,1436,136518,0.00110984,0.00006022,4.204049
991,1755,449320,0.00365279,0.00019834,4.202948
89,603,146743,0.00119296,0.00006482,4.202027
848,1240,229537,0.00186605,0.00010141,4.201666
432,639,127870,0.00103953,0.00005650,4.201490
1079,1746,235343,0.00191325,0.00010404,4.200804
161,920,78299,0.00063654,0.00003462,4.200603
743,1270,419312,0.00340884,0.00018561,4.198909
357,515,163464,0.00132890,0.00007237,4.198604
1165,1563,370257,0.00301004,0.00016399,4.198089
905,1721,74765,0.00060781,0.00003315,4.196692
112,763,149839,0.00121813,0.00006644,4.196573
738,1529,448101,0.00364288,0.00019882,4.195570
493,1208,307425,0.00249924,0.00013649,4.194606
1117,1144,38746,0.00031499,0.00001721,4.194145
246,454,240456,0.00195481,0.00010683,4.193613
522,622,254532,0.00206924,0.00011309,4.193553
1035,1863,660316,0.00536811,0.00029344,4.193275
302,2029,123328,0.00100261,0.00005482,4.192817
1268,1793,135570,0.00110213,0.00006027,4.192687
193,1252,432494,0.00351601,0.00019231,4.192409
79,857,1680706,0.01366347,0.00074752,4.192078
696,1037,88803,0.00072193,0.00003952,4.191161
149,467,98515,0.00080089,0.00004386,4.190517
332,1577,91184,0.00074129,0.00004060,4.190486
874,991,224748,0.00182711,0.00010014,4.189483
